tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1635,00:05.3,27:20.6,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,25577,Subscriber,1980,1
132,00:11.3,02:23.5,314,Cadman Plaza West & Montague St,40.69383,-73.990539,3242,Schermerhorn St & Court St,40.69102926,-73.99183363,34377,Subscriber,1969,0
3337,00:20.6,55:58.5,3142,1 Ave & E 62 St,40.7612274,-73.96094022,3384,Smith St & 3 St,40.6787242,-73.99599099,30496,Subscriber,1975,1
436,00:21.7,07:38.6,308,St James Pl & Oliver St,40.71307916,-73.99851193,3690,Park Pl & Church St,40.71334184,-74.00935516,28866,Subscriber,1984,2
8457,00:27.3,21:25.3,345,W 13 St & 6 Ave,40.73649403,-73.99704374,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,20943,Customer,1994,1
3326,00:29.3,55:56.2,3142,1 Ave & E 62 St,40.7612274,-73.96094022,3384,Smith St & 3 St,40.6787242,-73.99599099,21693,Subscriber,1977,2
233,00:27.3,04:20.7,3526,31 St & 23 Ave,40.7747878,-73.9125551,3532,Ditmars Blvd & 19 St,40.78145,-73.9183302,29789,Subscriber,1989,1
285,00:31.4,05:17.4,358,Christopher St & Greenwich St,40.73291553,-74.00711384,405,Washington St & Gansevoort St,40.739323,-74.008119,32861,Subscriber,1991,1
1127,00:31.0,19:18.5,285,Broadway & E 14 St,40.73454567,-73.99074142,405,Washington St & Gansevoort St,40.739323,-74.008119,25039,Subscriber,1982,1
423,00:42.2,07:45.7,319,Fulton St & Broadway,40.711066,-74.009447,426,West St & Chambers St,40.71754834,-74.01322069,20508,Subscriber,1974,2
327,00:45.2,06:12.3,3509,Lenox Ave & W 115 St,40.8011939,-73.9500739,3518,Lenox Ave & W 126 St,40.808442,-73.9452087,31497,Subscriber,1993,1
541,00:45.8,09:47.0,3077,Stagg St & Union Ave,40.70877084,-73.95095259,3059,Pulaski St & Marcus Garvey Blvd,40.6933982,-73.939877,21632,Subscriber,1990,1
535,01:12.2,10:07.3,500,Broadway & W 51 St,40.76228826,-73.98336183,493,W 45 St & 6 Ave,40.7568001,-73.98291153,21698,Customer,1971,1
147,01:16.2,03:43.9,3134,3 Ave & E 62 St,40.76312584,-73.96526895,3376,E 65 St & 2 Ave,40.76471852,-73.9622207,32191,Subscriber,1995,1
454,01:19.1,08:53.8,479,9 Ave & W 45 St,40.76019252,-73.9912551,458,11 Ave & W 27 St,40.751396,-74.005226,16773,Subscriber,1983,1
893,01:20.0,16:13.4,3558,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,3396,Clinton St & 4 Place,40.6783563,-74.00014502,17360,Customer,1987,1
1138,01:29.2,20:27.9,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,372,Franklin Ave & Myrtle Ave,40.69454609,-73.95801365,18964,Customer,1985,1
